num_branches,branch_lengths,skeleton_length,most_branches,analyzed,average_roundness,average_area,a_ratio,average_perimeter,largest_perimeter,thickness,branch_density,average_branches,average_circularity,roundness_variance,average_fractal_dim,average_num_projections,num_neighbors,proj_length,most_neighbors,most_projections,image_filename
17.996,17.996,146.168,36,49,6.380,1149.388,0.169,279.296,1234.5138401985168,7.863,0.056,8.122,0.323,22.960,0.336,2.429,0.816,51.237,5,13,r03c09f04p01-ch2sk1fk1fl1.tiff
20.978,20.978,152.700,24,43,8.555,1045.163,0.218,323.912,1132.0285602808,6.845,0.048,7.279,0.368,37.950,0.667,2.302,1.442,61.979,4,9,r02c03f07p01-ch2sk1fk1fl1.tiff
15.943,15.943,117.432,34,41,7.274,846.122,0.125,255.650,1186.513841509819,7.205,0.063,7.366,0.381,62.461,0.567,2.195,1.415,39.978,7,16,r02c10f08p01-ch2sk1fk1fl1.tiff
21.466,21.466,73.119,15,32,4.733,519.719,0.127,169.673,1097.134117245674,7.108,0.047,3.406,0.803,30.856,0.402,1.125,1.938,27.411,6,6,r04c04f07p01-ch2sk1fk1fl1.tiff
19.658,19.658,179.316,43,41,7.249,1612.171,0.144,356.962,1580.268234848976,8.991,0.051,9.122,0.347,30.639,0.419,3.098,2.244,70.376,5,18,r03c06f01p01-ch2sk1fk1fl1.tiff
16.278,16.278,275.872,181,38,8.922,2537.763,0.077,501.966,4719.84424674511,9.199,0.061,16.947,0.354,110.974,0.228,6.026,1.605,90.244,6,79,r04c11f04p01-ch2sk1fk1fl1.tiff
17.751,17.751,231.164,118,44,9.253,1979.182,0.086,441.811,3873.202554106712,8.562,0.056,13.023,0.614,118.584,0.404,4.386,2.364,81.913,6,42,r03c09f01p01-ch2sk1fk1fl1.tiff
14.195,14.195,95.054,45,56,5.065,744.643,0.148,207.896,1143.6854141950607,7.834,0.070,6.696,0.733,22.977,0.533,1.839,2.214,35.877,9,14,r02c11f05p01-ch2sk1fk1fl1.tiff
19.853,19.853,129.389,26,29,6.832,1015.103,0.196,275.651,1288.8397430181503,7.845,0.050,6.517,0.421,38.227,0.337,2.207,0.690,53.678,2,9,r04c03f06p01-ch2sk1fk1fl1.tiff
14.382,14.382,94.368,35,57,4.670,709.158,0.155,194.185,1051.6854140758514,7.515,0.070,6.561,0.842,26.378,0.321,2.018,3.140,36.394,13,12,r04c10f09p01-ch2sk1fk1fl1.tiff
20.259,20.259,118.890,25,38,7.013,829.211,0.243,262.319,1006.1463097333908,6.975,0.049,5.868,0.340,38.871,0.719,1.895,1.737,53.270,6,9,r02c04f06p01-ch2sk1fk1fl1.tiff
16.559,16.559,152.134,73,48,5.860,1378.188,0.078,290.831,2339.620607376098,9.059,0.060,9.188,0.631,49.717,0.341,3.292,2.042,52.358,4,29,r04c11f01p01-ch2sk1fk1fl1.tiff
18.613,18.613,168.403,66,42,7.284,1436.857,0.107,342.298,2200.441897034645,8.532,0.054,9.048,0.361,54.328,0.380,3.333,1.238,64.410,5,24,r03c06f04p01-ch2sk1fk1fl1.tiff
19.725,19.725,78.195,20,28,5.160,546.500,0.177,179.446,652.4234402179718,6.989,0.051,3.964,0.416,24.306,0.470,1.250,0.714,33.609,2,7,r04c04f02p01-ch2sk1fk1fl1.tiff
16.517,16.517,129.218,37,34,6.248,1017.265,0.212,269.273,932.1219252347946,7.872,0.061,7.824,0.363,30.052,0.609,2.235,1.735,50.767,6,10,r03c08f09p01-ch2sk1fk1fl1.tiff
20.342,20.342,153.439,53,35,7.683,1162.857,0.121,318.992,1837.8662161827087,7.579,0.049,7.543,0.607,42.425,0.679,2.914,1.171,61.960,3,21,r02c03f02p01-ch2sk1fk1fl1.tiff
16.464,16.464,146.981,71,55,6.338,1231.618,0.099,285.987,1737.523067831993,8.379,0.061,8.927,0.432,30.819,0.482,2.800,2.200,58.555,6,30,r02c09f05p01-ch2sk1fk1fl1.tiff
18.538,18.538,158.605,77,45,6.761,1283.089,0.105,303.280,1907.7657079696653,8.090,0.054,8.556,0.792,61.741,0.171,3.000,2.533,51.019,9,26,r03c11f01p01-ch2sk1fk1fl1.tiff
17.570,17.570,162.212,76,56,6.883,1430.964,0.068,327.322,3393.642026901245,8.822,0.057,9.232,0.522,65.251,0.348,2.893,2.411,59.634,10,26,r04c06f04p01-ch2sk1fk1fl1.tiff
15.195,15.195,119.177,61,51,6.060,874.510,0.095,245.988,1863.363687157631,7.338,0.066,7.843,0.526,35.188,0.572,2.137,2.627,38.712,10,22,r04c08f09p01-ch2sk1fk1fl1.tiff
21.552,21.552,139.781,47,35,7.923,946.886,0.153,295.162,1438.8641265630722,6.774,0.046,6.486,0.412,86.768,0.389,1.829,0.914,58.607,2,14,r03c04f02p01-ch2sk1fk1fl1.tiff
17.686,17.686,141.776,55,61,5.702,1233.934,0.130,270.295,1160.5138399600985,8.703,0.057,8.016,0.368,25.845,0.378,3.033,1.410,64.420,6,17,r02c07f08p01-ch2sk1fk1fl1.tiff
17.129,17.129,133.506,57,34,5.909,1053.676,0.107,262.168,2161.589084982872,7.892,0.058,7.794,0.582,61.805,0.322,2.529,1.824,47.535,4,23,r04c09f01p01-ch2sk1fk1fl1.tiff
16.157,16.157,163.181,71,30,7.748,1300.933,0.173,348.243,1602.8712666034698,7.972,0.062,10.100,0.306,59.973,0.523,3.200,1.333,74.356,4,21,r03c10f09p01-ch2sk1fk1fl1.tiff
24.680,24.680,120.151,22,38,7.025,831.895,0.196,259.471,1178.714851975441,6.924,0.041,4.868,0.329,41.702,0.676,1.763,1.842,41.581,6,7,r03c03f06p01-ch2sk1fk1fl1.tiff
16.523,16.523,98.668,64,35,6.143,703.400,0.063,221.879,2732.113031625748,7.129,0.061,5.971,0.564,96.567,0.399,1.714,1.286,32.184,5,17,r03c04f07p01-ch2sk1fk1fl1.tiff
17.157,17.157,149.561,80,46,6.703,1194.935,0.074,296.463,2927.23286819458,7.990,0.058,8.717,0.689,96.787,0.075,2.283,2.217,40.576,6,24,r04c06f01p01-ch2sk1fk1fl1.tiff
15.264,15.264,121.139,78,63,5.004,1048.143,0.097,240.839,1729.917948961258,8.652,0.066,7.937,0.689,31.471,0.448,2.651,1.921,41.110,6,23,r03c11f04p01-ch2sk1fk1fl1.tiff
20.823,20.823,112.656,25,39,7.369,766.410,0.224,256.097,1011.7270449399948,6.803,0.048,5.410,0.450,43.735,0.685,1.923,1.103,50.767,4,6,r03c03f03p01-ch2sk1fk1fl1.tiff
