object_label,num_nodes,num_branches,num_projections,branch_lengths,total_skeleton_length,area,fractal_dim,perimeter,circularity,roundness,projection_lengths,avg_projection_length,max_projection_length,neighbors,length_width_ratio,file_name
11,9,6,2,"[69.25483399593901, 50.0416305603426, 1.4142135623730951, 2.0, 32.87005768508882, 78.07106781186548]",233.651803615609,1646.0,1.4441898043238974,513.7300089597702,0.07837360510431637,12.759397741994718,"[47.12741661071777, 100.29646337032318]",73.71193999052048,100.29646337032318,0,2.1666666666666665,r02c05f01p01-ch2sk1fk1fl1.tiff
12,2,1,0,[12.071067811865477],12.071067811865477,285.0,0.0,74.76955187320709,0.6406268967095295,1.5609709881622658,[],0.0,0.0,1,1.3888888888888888,r02c05f01p01-ch2sk1fk1fl1.tiff
13,0,0,0,[],0.0,1.0,0.0,0.0,0.0,0.0,[],0.0,0.0,1,1.0,r02c05f01p01-ch2sk1fk1fl1.tiff
14,21,15,5,"[11.414213562373096, 2.0, 1.0, 1.4142135623730951, 2.0, 1.0, 8.414213562373096, 17.07106781186548, 2.0, 16.242640687119287, 16.242640687119287, 2.0, 1.4142135623730951, 7.414213562373095, 8.242640687119284]",97.87005768508882,685.0,1.362607671413472,239.5218586921692,0.1500410619232392,6.664842191743475,"[13.742640614509583, 38.22792184352875, 5.914213538169861, 0.0, 8.91421353816986]",13.35979790687561,38.22792184352875,0,2.3333333333333335,r02c05f01p01-ch2sk1fk1fl1.tiff
15,8,5,3,"[6.242640687119285, 3.8284271247461903, 28.82842712474619, 6.0, 17.656854249492383]",62.55634918610405,782.0,1.4291321184081105,186.30865585803986,0.28310696362579985,3.5322338496829153,"[3.5, 0.7071067690849304, 2.914213538169861]",2.373773435751597,3.5,0,2.24,r02c05f01p01-ch2sk1fk1fl1.tiff
16,6,4,0,"[97.69848480983498, 1.4142135623730951, 2.0, 16.485281374238575]",117.59797974644664,712.0,0.0,289.32084834575653,0.1068883561206068,9.355555986581516,[],0.0,0.0,0,4.08,r02c05f01p01-ch2sk1fk1fl1.tiff
17,20,15,4,"[10.071067811865476, 10.071067811865476, 129.91168824543132, 35.798989873223334, 5.82842712474619, 3.414213562373095, 5.242640687119286, 7.0, 54.94112549695426, 32.45584412271572, 25.727922061357862, 8.0, 9.242640687119286, 1.4142135623730951, 2.0]",341.11984104714435,3328.0,-1.0,663.8965294361115,0.09488386893426756,10.539199246742008,"[4.20710676908493, 96.68986183404922, 6.7426406145095825, 6.535533845424652]",28.543785765767097,96.68986183404922,1,1.7704918032786885,r02c05f01p01-ch2sk1fk1fl1.tiff
18,27,20,3,"[11.071067811865476, 2.0, 1.4142135623730951, 17.0, 22.656854249492383, 8.242640687119284, 1.4142135623730951, 2.0, 174.53910524340102, 1.4142135623730951, 2.0, 48.04163056034261, 1.4142135623730951, 2.0, 70.35533905932735, 26.556349186104054, 58.14213562373094, 101.12489168102776, 1.4142135623730951, 2.0]",554.8010819142763,4881.0,-1.0,1146.8986179828644,0.04663034330454057,21.445263515840903,"[83.90559107065201, 20.156854152679443, 27.278174459934235]",43.78020656108856,83.90559107065201,0,1.7969543147208122,r02c05f01p01-ch2sk1fk1fl1.tiff
19,2,1,0,[44.38477631085023],44.38477631085023,534.0,0.0,109.8406195640564,0.556192557545428,1.7979384773021228,[],0.0,0.0,1,2.5,r02c05f01p01-ch2sk1fk1fl1.tiff
20,9,6,2,"[43.38477631085024, 5.82842712474619, 2.0, 1.4142135623730951, 10.414213562373096, 110.81118318204301]",173.85281374238565,2180.0,1.583117108724315,386.71781730651855,0.18317997437643588,5.459112020318305,"[15.449747383594513, 40.88477599620819]",28.167261689901352,40.88477599620819,3,1.4819277108433735,r02c05f01p01-ch2sk1fk1fl1.tiff
